available,category,image,link,price,shop,sku,title
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/26/59/5926/images/5785/5785.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i3-8100-oem-cm8068403377308/,9 950,28bit.ru,5927,Процессор Intel Core i3 8100 OEM CM8068403377308
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/80/92/19280/images/32302/32302.170x0.jpeg,https://28bit.ru/protsessor-amd-ryzen-r5-5600-oem-100-000000927/,10 400,28bit.ru,19917,Процессор AMD Ryzen 5 5600 OEM 100-000000927
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/08/15/11508/images/26768/26768.170x0.png,https://28bit.ru/protsessor-amd-ryzen-5-5600g-oem-100-100000252/,10 520,28bit.ru,11803,Процессор AMD Ryzen 5 5600G OEM	100-000000252
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/28/82/8228/images/13797/13797.170x0.jpeg,https://28bit.ru/protsessor-intel-celeron-g4930-oem-cm8068403378114/,10 650,28bit.ru,8229,Процессор Intel Celeron G4930 OEM CM8068403378114
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/02/94/19402/images/33293/33293.170x0.png,https://28bit.ru/protsessor-intel-core-i3-13100f-box-bx8071513100f/,10 660,28bit.ru,20039,Процессор Intel Core i3 13100F BOX BX8071513100F
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/21/92/9221/images/11567/11567.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-11400-oem-cm8070804497015/,10 710,28bit.ru,9250,Процессор Intel Core i5 11400 OEM CM8070804497015
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/56/32/13256/images/28399/28399.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i3-12100-box-bx8071512100/,11 300,28bit.ru,13577,Процессор Intel Core i3 12100 BOX BX8071512100
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/03/94/19403/images/33294/33294.170x0.png,https://28bit.ru/protsessor-intel-core-i3-13100-oem-cm8071505092202/,11 440,28bit.ru,20040,Процессор Intel Core i3 13100 OEM CM8071505092202
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/21/30/13021/images/28188/28188.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-12400f-oem-cm8071504650609/,11 500,28bit.ru,13316,Процессор Intel Core i5 12400F OEM CM8071504555318
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/56/93/9356/images/11675/11675.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-11400f-box-bx8070811400f/,11 920,28bit.ru,9385,Процессор Intel Core i5 11400F BOX BX8070811400F
